,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr),Time
11,Coal India,Coal,127.35,-0.5,-0.39,78482.35,2020-03-24 15:07:41.486425
12,Dr Reddys Labs,Pharmaceuticals & Drugs,2855.5,87.1,3.15,47450.44,2020-03-24 15:07:41.486425
13,Eicher Motors,Automobile - LCVS/ HVCS,14272.1,566.2,4.13,38970.64,2020-03-24 15:07:41.486425
14,GAIL,Gas Distribution,76.5,-1.5,-1.92,34797.36,2020-03-24 15:07:41.486425
15,Grasim,Diversified,398.3,-34.95,-8.07,26200.13,2020-03-24 15:07:41.486425
16,HCL Tech,IT Services & Consulting,438.9,21.75,5.21,119102.76,2020-03-24 15:07:41.486425
17,HDFC,Finance - Housing,1514.05,-6.65,-0.44,262230.0,2020-03-24 15:07:41.486425
18,HDFC Bank,Bank - Private,755.9,-15.65,-2.03,414481.62,2020-03-24 15:07:41.486425
19,Hero Motocorp,Automobile - 2 & 3 Wheelers,1619.8,3.8,0.24,32353.78,2020-03-24 15:07:41.486425
20,Hindalco,Iron & Steel,88.55,0.65,0.74,19890.3,2020-03-24 15:07:41.486425
21,HUL,Household & Personal Products,2038.5,168.8,9.03,441298.77,2020-03-24 15:07:41.486425
22,ICICI Bank,Bank - Private,296.0,12.0,4.23,191585.68,2020-03-24 15:07:41.486425
23,IndusInd Bank,Bank - Private,305.3,-31.15,-9.26,21173.65,2020-03-24 15:07:41.486425
24,Infosys,IT Services & Consulting,582.0,55.55,10.55,247861.99,2020-03-24 15:07:41.486425
25,IOC,Refineries,79.6,-1.15,-1.42,74936.71,2020-03-24 15:07:41.486425
26,ITC,Cigarettes/Tobacco,147.75,-6.55,-4.24,181617.72,2020-03-24 15:07:41.486425
27,JSW Steel,Iron & Steel,147.5,3.1,2.15,35654.0,2020-03-24 15:07:41.486425
28,Kotak Mahindra,Bank - Private,1146.7,48.45,4.41,219302.53,2020-03-24 15:07:41.486425
29,Larsen,Engineering & Construction,701.45,-22.6,-3.12,98476.01,2020-03-24 15:07:41.486425
30,M&M,Automobile - Auto & Truck Manufacturers,268.2,-25.2,-8.59,33342.42,2020-03-24 15:07:41.486425
31,Maruti Suzuki,Automobile - Passenger Cars,4456.8,236.45,5.6,134631.04,2020-03-24 15:07:41.486425
32,Nestle,Consumer Food,13494.05,549.4,4.24,130103.85,2020-03-24 15:07:41.486425
33,NTPC,Power Generation/Distribution,76.55,0.15,0.2,75742.84,2020-03-24 15:07:41.486425
34,ONGC,Oil Exploration and Production,62.45,2.05,3.39,78563.84,2020-03-24 15:07:41.486425
35,Power Grid Corp,Power Generation/Distribution,145.5,-7.5,-4.9,76119.63,2020-03-24 15:07:41.486425
36,Reliance,Oil Exploration and Production,939.2,55.15,6.24,595384.0,2020-03-24 15:07:41.486425
37,SBI,Bank - Public,181.0,-0.6,-0.33,161535.47,2020-03-24 15:07:41.486425
38,Sun Pharma,Pharmaceuticals & Drugs,334.55,10.05,3.1,80269.75,2020-03-24 15:07:41.486425
39,Tata Motors,Automobile - LCVS/ HVCS,68.0,1.8,2.72,21005.01,2020-03-24 15:07:41.486425
40,Tata Steel,Iron & Steel,271.7,0.55,0.2,30606.72,2020-03-24 15:07:41.486425
41,TCS,IT Services & Consulting,1695.5,25.8,1.55,636216.83,2020-03-24 15:07:41.486425
42,Tech Mahindra,IT Services & Consulting,502.85,15.65,3.21,49597.54,2020-03-24 15:07:41.486425
43,Titan Company,Diamond  &  Jewellery,816.55,15.6,1.95,72492.18,2020-03-24 15:07:41.486425
44,UltraTechCement,Cement,2987.15,-67.7,-2.22,86216.16,2020-03-24 15:07:41.486425
45,UPL,Pesticides & Agrochemicals,264.35,9.75,3.83,20197.54,2020-03-24 15:07:41.486425
46,Vedanta,Metals - Non Ferrous,62.7,0.05,0.08,23306.82,2020-03-24 15:07:41.486425
47,Wipro,IT Services & Consulting,175.6,5.45,3.2,100326.56,2020-03-24 15:07:41.486425
48,Yes Bank,Bank - Private,35.0,-4.75,-11.95,43926.65,2020-03-24 15:07:41.486425
49,Zee Entertain,TV Broadcasting & Software Production,118.4,-3.6,-2.95,11372.12,2020-03-24 15:07:41.486425
0,Adani Ports,Transport Infrastructure,230.5,22.7,10.92,46831.88,2020-03-24 15:08:41.827910
1,Asian Paints,Paints,1511.0,12.55,0.84,144934.79,2020-03-24 15:08:41.827910
2,Axis Bank,Bank - Private,301.35,-7.3,-2.37,85024.14,2020-03-24 15:08:41.827910
3,Bajaj Auto,Automobile - 2 & 3 Wheelers,1914.4,-21.15,-1.09,55396.42,2020-03-24 15:08:41.827910
4,Bajaj Finance,Finance - NBFC,2441.95,175.8,7.76,146929.46,2020-03-24 15:08:41.827910
5,Bajaj Finserv,Finance - Investment,4355.0,-266.05,-5.76,69304.29,2020-03-24 15:08:41.827910
6,Bharti Airtel,Telecommunication - Service Provider,403.0,-4.35,-1.07,219858.96,2020-03-24 15:08:41.827910
7,Bharti Infratel,Telecommunication - Equipment,143.3,-0.1,-0.07,26504.89,2020-03-24 15:08:41.827910
8,BPCL,Refineries,257.8,-11.55,-4.29,55923.34,2020-03-24 15:08:41.827910
9,Britannia,Consumer Food,2325.7,187.85,8.79,55925.71,2020-03-24 15:08:41.827910
10,Cipla,Pharmaceuticals & Drugs,380.1,4.85,1.29,30645.0,2020-03-24 15:08:41.827910
11,Coal India,Coal,128.0,0.15,0.12,78882.92,2020-03-24 15:08:41.827910
12,Dr Reddys Labs,Pharmaceuticals & Drugs,2856.45,88.05,3.18,47466.22,2020-03-24 15:08:41.827910
13,Eicher Motors,Automobile - LCVS/ HVCS,14315.0,609.1,4.44,39087.78,2020-03-24 15:08:41.827910
14,GAIL,Gas Distribution,76.45,-1.55,-1.99,34774.62,2020-03-24 15:08:41.827910
15,Grasim,Diversified,398.65,-34.6,-7.99,26223.15,2020-03-24 15:08:41.827910
16,HCL Tech,IT Services & Consulting,439.7,22.55,5.41,119319.85,2020-03-24 15:08:41.827910
17,HDFC,Finance - Housing,1504.2,-16.5,-1.09,260524.01,2020-03-24 15:08:41.827910
18,HDFC Bank,Bank - Private,762.65,-8.9,-1.15,418182.84,2020-03-24 15:08:41.827910
19,Hero Motocorp,Automobile - 2 & 3 Wheelers,1617.95,1.95,0.12,32316.83,2020-03-24 15:08:41.827910
20,Hindalco,Iron & Steel,88.6,0.7,0.8,19901.53,2020-03-24 15:08:41.827910
21,HUL,Household & Personal Products,2037.3,167.6,8.96,441038.99,2020-03-24 15:08:41.827910
22,ICICI Bank,Bank - Private,294.05,10.05,3.54,190323.54,2020-03-24 15:08:41.827910
23,IndusInd Bank,Bank - Private,305.95,-30.5,-9.07,21218.73,2020-03-24 15:08:41.827910
24,Infosys,IT Services & Consulting,582.45,56.0,10.64,248053.64,2020-03-24 15:08:41.827910
25,IOC,Refineries,79.7,-1.05,-1.3,75030.85,2020-03-24 15:08:41.827910
26,ITC,Cigarettes/Tobacco,148.15,-6.15,-3.99,182109.41,2020-03-24 15:08:41.827910
27,JSW Steel,Iron & Steel,147.1,2.7,1.87,35557.31,2020-03-24 15:08:41.827910
28,Kotak Mahindra,Bank - Private,1147.5,49.25,4.48,219455.53,2020-03-24 15:08:41.827910
29,Larsen,Engineering & Construction,703.3,-20.75,-2.87,98735.73,2020-03-24 15:08:41.827910
30,M&M,Automobile - Auto & Truck Manufacturers,269.55,-23.85,-8.13,33510.26,2020-03-24 15:08:41.827910
31,Maruti Suzuki,Automobile - Passenger Cars,4460.95,240.6,5.7,134756.4,2020-03-24 15:08:41.827910
32,Nestle,Consumer Food,13581.95,637.3,4.92,130951.34,2020-03-24 15:08:41.827910
33,NTPC,Power Generation/Distribution,76.95,0.55,0.72,76138.62,2020-03-24 15:08:41.827910
34,ONGC,Oil Exploration and Production,62.4,2.0,3.31,78500.94,2020-03-24 15:08:41.827910
35,Power Grid Corp,Power Generation/Distribution,146.1,-6.9,-4.51,76433.52,2020-03-24 15:08:41.827910
36,Reliance,Oil Exploration and Production,944.2,60.15,6.8,598553.64,2020-03-24 15:08:41.827910
37,SBI,Bank - Public,181.7,0.1,0.06,162160.19,2020-03-24 15:08:41.827910
38,Sun Pharma,Pharmaceuticals & Drugs,335.0,10.5,3.24,80377.72,2020-03-24 15:08:41.827910
39,Tata Motors,Automobile - LCVS/ HVCS,68.15,1.95,2.95,21051.34,2020-03-24 15:08:41.827910
40,Tata Steel,Iron & Steel,271.25,0.1,0.04,30556.03,2020-03-24 15:08:41.827910
41,TCS,IT Services & Consulting,1696.65,26.95,1.61,636648.35,2020-03-24 15:08:41.827910
42,Tech Mahindra,IT Services & Consulting,507.0,19.8,4.06,50006.87,2020-03-24 15:08:41.827910
43,Titan Company,Diamond  &  Jewellery,815.0,14.05,1.75,72354.57,2020-03-24 15:08:41.827910
44,UltraTechCement,Cement,2996.75,-58.1,-1.9,86493.24,2020-03-24 15:08:41.827910
45,UPL,Pesticides & Agrochemicals,264.05,9.45,3.71,20174.62,2020-03-24 15:08:41.827910
46,Vedanta,Metals - Non Ferrous,62.65,0.0,0.0,23288.24,2020-03-24 15:08:41.827910
47,Wipro,IT Services & Consulting,176.0,5.85,3.44,100555.09,2020-03-24 15:08:41.827910
48,Yes Bank,Bank - Private,34.95,-4.8,-12.08,43863.9,2020-03-24 15:08:41.827910
49,Zee Entertain,TV Broadcasting & Software Production,119.0,-3.0,-2.46,11429.75,2020-03-24 15:08:41.827910
0,Adani Ports,Transport Infrastructure,230.4,22.6,10.88,46811.56,2020-03-24 15:09:43.048637
1,Asian Paints,Paints,1523.85,25.4,1.7,146167.36,2020-03-24 15:09:43.048637
2,Axis Bank,Bank - Private,303.35,-5.3,-1.72,85588.43,2020-03-24 15:09:43.048637
3,Bajaj Auto,Automobile - 2 & 3 Wheelers,1923.25,-12.3,-0.64,55652.51,2020-03-24 15:09:43.048637
4,Bajaj Finance,Finance - NBFC,2485.0,218.85,9.66,149519.73,2020-03-24 15:09:43.048637
5,Bajaj Finserv,Finance - Investment,4435.0,-186.05,-4.03,70577.39,2020-03-24 15:09:43.048637
6,Bharti Airtel,Telecommunication - Service Provider,402.3,-5.05,-1.24,219477.07,2020-03-24 15:09:43.048637
7,Bharti Infratel,Telecommunication - Equipment,142.95,-0.45,-0.31,26440.15,2020-03-24 15:09:43.048637
8,BPCL,Refineries,259.25,-10.1,-3.75,56237.88,2020-03-24 15:09:43.048637
9,Britannia,Consumer Food,2360.4,222.55,10.41,56760.14,2020-03-24 15:09:43.048637
10,Cipla,Pharmaceuticals & Drugs,380.45,5.2,1.39,30673.22,2020-03-24 15:09:43.048637
11,Coal India,Coal,128.75,0.9,0.7,79345.13,2020-03-24 15:09:43.048637
12,Dr Reddys Labs,Pharmaceuticals & Drugs,2858.65,90.25,3.26,47502.78,2020-03-24 15:09:43.048637
13,Eicher Motors,Automobile - LCVS/ HVCS,14309.5,603.6,4.4,39072.77,2020-03-24 15:09:43.048637
14,GAIL,Gas Distribution,77.45,-0.55,-0.71,35229.48,2020-03-24 15:09:43.048637
15,Grasim,Diversified,402.25,-31.0,-7.16,26459.96,2020-03-24 15:09:43.048637
16,HCL Tech,IT Services & Consulting,440.05,22.9,5.49,119414.83,2020-03-24 15:09:43.048637
17,HDFC,Finance - Housing,1501.5,-19.2,-1.26,260056.37,2020-03-24 15:09:43.048637
18,HDFC Bank,Bank - Private,767.85,-3.7,-0.48,421034.15,2020-03-24 15:09:43.048637
19,Hero Motocorp,Automobile - 2 & 3 Wheelers,1624.95,8.95,0.55,32456.65,2020-03-24 15:09:43.048637
20,Hindalco,Iron & Steel,88.85,0.95,1.08,19957.69,2020-03-24 15:09:43.048637
21,HUL,Household & Personal Products,2044.5,174.8,9.35,442597.67,2020-03-24 15:09:43.048637
22,ICICI Bank,Bank - Private,294.65,10.65,3.75,190711.89,2020-03-24 15:09:43.048637
23,IndusInd Bank,Bank - Private,313.55,-22.9,-6.81,21745.81,2020-03-24 15:09:43.048637
24,Infosys,IT Services & Consulting,581.55,55.1,10.47,247670.35,2020-03-24 15:09:43.048637
25,IOC,Refineries,79.7,-1.05,-1.3,75030.85,2020-03-24 15:09:43.048637
26,ITC,Cigarettes/Tobacco,149.35,-4.95,-3.21,183584.47,2020-03-24 15:09:43.048637
27,JSW Steel,Iron & Steel,147.1,2.7,1.87,35557.31,2020-03-24 15:09:43.048637
28,Kotak Mahindra,Bank - Private,1150.85,52.6,4.79,220096.21,2020-03-24 15:09:43.048637
29,Larsen,Engineering & Construction,707.9,-16.15,-2.23,99381.52,2020-03-24 15:09:43.048637
30,M&M,Automobile - Auto & Truck Manufacturers,270.35,-23.05,-7.86,33609.71,2020-03-24 15:09:43.048637
31,Maruti Suzuki,Automobile - Passenger Cars,4490.65,270.3,6.4,135653.58,2020-03-24 15:09:43.048637
32,Nestle,Consumer Food,13690.7,746.05,5.76,131999.86,2020-03-24 15:09:43.048637
33,NTPC,Power Generation/Distribution,77.6,1.2,1.57,76781.76,2020-03-24 15:09:43.048637
34,ONGC,Oil Exploration and Production,62.7,2.3,3.81,78878.35,2020-03-24 15:09:43.048637
35,Power Grid Corp,Power Generation/Distribution,147.35,-5.65,-3.69,77087.47,2020-03-24 15:09:43.048637
36,Reliance,Oil Exploration and Production,949.2,65.15,7.37,601723.27,2020-03-24 15:09:43.048637
37,SBI,Bank - Public,183.2,1.6,0.88,163498.88,2020-03-24 15:09:43.048637
38,Sun Pharma,Pharmaceuticals & Drugs,334.25,9.75,3.0,80197.77,2020-03-24 15:09:43.048637
39,Tata Motors,Automobile - LCVS/ HVCS,68.55,2.35,3.55,21174.9,2020-03-24 15:09:43.048637
40,Tata Steel,Iron & Steel,272.3,1.15,0.42,30674.31,2020-03-24 15:09:43.048637
41,TCS,IT Services & Consulting,1701.1,31.4,1.88,638318.16,2020-03-24 15:09:43.048637
42,Tech Mahindra,IT Services & Consulting,505.05,17.85,3.66,49814.53,2020-03-24 15:09:43.048637
43,Titan Company,Diamond  &  Jewellery,816.5,15.55,1.94,72487.74,2020-03-24 15:09:43.048637
44,UltraTechCement,Cement,3019.8,-35.05,-1.15,87158.52,2020-03-24 15:09:43.048637
45,UPL,Pesticides & Agrochemicals,264.5,9.9,3.89,20209.0,2020-03-24 15:09:43.048637
46,Vedanta,Metals - Non Ferrous,62.8,0.15,0.24,23343.99,2020-03-24 15:09:43.048637
47,Wipro,IT Services & Consulting,177.15,7.0,4.11,101212.13,2020-03-24 15:09:43.048637
48,Yes Bank,Bank - Private,35.0,-4.75,-11.95,43926.65,2020-03-24 15:09:43.048637
49,Zee Entertain,TV Broadcasting & Software Production,119.5,-2.5,-2.05,11477.77,2020-03-24 15:09:43.048637
0,Adani Ports,Transport Infrastructure,230.4,22.6,10.88,46811.56,2020-03-24 15:10:43.534815
1,Asian Paints,Paints,1522.6,24.15,1.61,146047.46,2020-03-24 15:10:43.534815
2,Axis Bank,Bank - Private,303.35,-5.3,-1.72,85588.43,2020-03-24 15:10:43.534815
3,Bajaj Auto,Automobile - 2 & 3 Wheelers,1925.95,-9.6,-0.5,55730.64,2020-03-24 15:10:43.534815
4,Bajaj Finance,Finance - NBFC,2474.8,208.65,9.21,148906.01,2020-03-24 15:10:43.534815
5,Bajaj Finserv,Finance - Investment,4446.1,-174.95,-3.79,70754.03,2020-03-24 15:10:43.534815
6,Bharti Airtel,Telecommunication - Service Provider,404.1,-3.25,-0.8,220459.07,2020-03-24 15:10:43.534815
7,Bharti Infratel,Telecommunication - Equipment,142.95,-0.45,-0.31,26440.15,2020-03-24 15:10:43.534815
8,BPCL,Refineries,259.3,-10.05,-3.73,56248.72,2020-03-24 15:10:43.534815
9,Britannia,Consumer Food,2350.9,213.05,9.97,56531.69,2020-03-24 15:10:43.534815
10,Cipla,Pharmaceuticals & Drugs,380.7,5.45,1.45,30693.38,2020-03-24 15:10:43.534815
11,Coal India,Coal,128.7,0.85,0.66,79314.31,2020-03-24 15:10:43.534815
12,Dr Reddys Labs,Pharmaceuticals & Drugs,2861.45,93.05,3.36,47549.31,2020-03-24 15:10:43.534815
13,Eicher Motors,Automobile - LCVS/ HVCS,14255.1,549.2,4.01,38924.22,2020-03-24 15:10:43.534815
14,GAIL,Gas Distribution,76.9,-1.1,-1.41,34979.31,2020-03-24 15:10:43.534815
15,Grasim,Diversified,400.5,-32.75,-7.56,26344.85,2020-03-24 15:10:43.534815
16,HCL Tech,IT Services & Consulting,438.85,21.7,5.2,119089.19,2020-03-24 15:10:43.534815
17,HDFC,Finance - Housing,1492.75,-27.95,-1.84,258540.89,2020-03-24 15:10:43.534815
18,HDFC Bank,Bank - Private,767.2,-4.35,-0.56,420677.74,2020-03-24 15:10:43.534815
19,Hero Motocorp,Automobile - 2 & 3 Wheelers,1621.9,5.9,0.37,32395.73,2020-03-24 15:10:43.534815
20,Hindalco,Iron & Steel,88.7,0.8,0.91,19924.0,2020-03-24 15:10:43.534815
21,HUL,Household & Personal Products,2057.5,187.8,10.04,445411.93,2020-03-24 15:10:43.534815
22,ICICI Bank,Bank - Private,294.65,10.65,3.75,190711.89,2020-03-24 15:10:43.534815
23,IndusInd Bank,Bank - Private,313.55,-22.9,-6.81,21745.81,2020-03-24 15:10:43.534815
24,Infosys,IT Services & Consulting,581.55,55.1,10.47,247670.35,2020-03-24 15:10:43.534815
25,IOC,Refineries,79.7,-1.05,-1.3,75030.85,2020-03-24 15:10:43.534815
26,ITC,Cigarettes/Tobacco,149.35,-4.95,-3.21,183584.47,2020-03-24 15:10:43.534815
27,JSW Steel,Iron & Steel,147.1,2.7,1.87,35557.31,2020-03-24 15:10:43.534815
28,Kotak Mahindra,Bank - Private,1150.85,52.6,4.79,220096.21,2020-03-24 15:10:43.534815
29,Larsen,Engineering & Construction,707.9,-16.15,-2.23,99381.52,2020-03-24 15:10:43.534815
30,M&M,Automobile - Auto & Truck Manufacturers,270.35,-23.05,-7.86,33609.71,2020-03-24 15:10:43.534815
31,Maruti Suzuki,Automobile - Passenger Cars,4490.65,270.3,6.4,135653.58,2020-03-24 15:10:43.534815
32,Nestle,Consumer Food,13690.7,746.05,5.76,131999.86,2020-03-24 15:10:43.534815
33,NTPC,Power Generation/Distribution,77.6,1.2,1.57,76781.76,2020-03-24 15:10:43.534815
34,ONGC,Oil Exploration and Production,62.7,2.3,3.81,78878.35,2020-03-24 15:10:43.534815
35,Power Grid Corp,Power Generation/Distribution,147.35,-5.65,-3.69,77087.47,2020-03-24 15:10:43.534815
36,Reliance,Oil Exploration and Production,949.2,65.15,7.37,601723.27,2020-03-24 15:10:43.534815
37,SBI,Bank - Public,183.2,1.6,0.88,163498.88,2020-03-24 15:10:43.534815
38,Sun Pharma,Pharmaceuticals & Drugs,334.25,9.75,3.0,80197.77,2020-03-24 15:10:43.534815
39,Tata Motors,Automobile - LCVS/ HVCS,68.55,2.35,3.55,21174.9,2020-03-24 15:10:43.534815
40,Tata Steel,Iron & Steel,272.3,1.15,0.42,30674.31,2020-03-24 15:10:43.534815
41,TCS,IT Services & Consulting,1701.1,31.4,1.88,638318.16,2020-03-24 15:10:43.534815
42,Tech Mahindra,IT Services & Consulting,505.05,17.85,3.66,49814.53,2020-03-24 15:10:43.534815
43,Titan Company,Diamond  &  Jewellery,816.5,15.55,1.94,72487.74,2020-03-24 15:10:43.534815
44,UltraTechCement,Cement,3019.8,-35.05,-1.15,87158.52,2020-03-24 15:10:43.534815
45,UPL,Pesticides & Agrochemicals,264.5,9.9,3.89,20209.0,2020-03-24 15:10:43.534815
46,Vedanta,Metals - Non Ferrous,62.8,0.15,0.24,23343.99,2020-03-24 15:10:43.534815
47,Wipro,IT Services & Consulting,177.15,7.0,4.11,101212.13,2020-03-24 15:10:43.534815
48,Yes Bank,Bank - Private,35.0,-4.75,-11.95,43926.65,2020-03-24 15:10:43.534815
49,Zee Entertain,TV Broadcasting & Software Production,119.5,-2.5,-2.05,11477.77,2020-03-24 15:10:43.534815
0,Adani Ports,Transport Infrastructure,230.75,22.95,11.04,46882.67,2020-03-24 15:11:44.097434
1,Asian Paints,Paints,1522.7,24.25,1.62,146057.05,2020-03-24 15:11:44.097434
2,Axis Bank,Bank - Private,302.5,-6.15,-1.99,85348.6,2020-03-24 15:11:44.097434
3,Bajaj Auto,Automobile - 2 & 3 Wheelers,1921.6,-13.95,-0.72,55604.77,2020-03-24 15:11:44.097434
4,Bajaj Finance,Finance - NBFC,2480.8,214.65,9.47,149267.02,2020-03-24 15:11:44.097434
5,Bajaj Finserv,Finance - Investment,4450.5,-170.55,-3.69,70824.05,2020-03-24 15:11:44.097434
6,Bharti Airtel,Telecommunication - Service Provider,404.55,-2.8,-0.69,220704.57,2020-03-24 15:11:44.097434
7,Bharti Infratel,Telecommunication - Equipment,142.95,-0.45,-0.31,26440.15,2020-03-24 15:11:44.097434
8,BPCL,Refineries,261.55,-7.8,-2.9,56736.81,2020-03-24 15:11:44.097434
9,Britannia,Consumer Food,2350.95,213.1,9.97,56532.89,2020-03-24 15:11:44.097434
10,Cipla,Pharmaceuticals & Drugs,378.85,3.6,0.96,30544.23,2020-03-24 15:11:44.097434
11,Coal India,Coal,128.55,0.7,0.55,79221.87,2020-03-24 15:11:44.097434
12,Dr Reddys Labs,Pharmaceuticals & Drugs,2858.2,89.8,3.24,47495.3,2020-03-24 15:11:44.097434
13,Eicher Motors,Automobile - LCVS/ HVCS,14220.15,514.25,3.75,38828.79,2020-03-24 15:11:44.097434
14,GAIL,Gas Distribution,76.9,-1.1,-1.41,34979.31,2020-03-24 15:11:44.097434
15,Grasim,Diversified,401.4,-31.85,-7.35,26404.05,2020-03-24 15:11:44.097434
16,HCL Tech,IT Services & Consulting,440.0,22.85,5.48,119401.26,2020-03-24 15:11:44.097434
17,HDFC,Finance - Housing,1500.5,-20.2,-1.33,259883.17,2020-03-24 15:11:44.097434
18,HDFC Bank,Bank - Private,770.0,-1.55,-0.2,422213.06,2020-03-24 15:11:44.097434
19,Hero Motocorp,Automobile - 2 & 3 Wheelers,1620.15,4.15,0.26,32360.77,2020-03-24 15:11:44.097434
20,Hindalco,Iron & Steel,88.45,0.55,0.63,19867.84,2020-03-24 15:11:44.097434
21,HUL,Household & Personal Products,2055.15,185.45,9.92,444903.2,2020-03-24 15:11:44.097434
22,ICICI Bank,Bank - Private,297.2,13.2,4.65,192362.38,2020-03-24 15:11:44.097434
23,IndusInd Bank,Bank - Private,312.8,-23.65,-7.03,21693.8,2020-03-24 15:11:44.097434
24,Infosys,IT Services & Consulting,581.5,55.05,10.46,247649.05,2020-03-24 15:11:44.097434
25,IOC,Refineries,79.7,-1.05,-1.3,75030.85,2020-03-24 15:11:44.097434
26,ITC,Cigarettes/Tobacco,149.6,-4.7,-3.05,183891.78,2020-03-24 15:11:44.097434
27,JSW Steel,Iron & Steel,146.7,2.3,1.59,35460.62,2020-03-24 15:11:44.097434
28,Kotak Mahindra,Bank - Private,1146.0,47.75,4.35,219168.66,2020-03-24 15:11:44.097434
29,Larsen,Engineering & Construction,706.6,-17.45,-2.41,99199.01,2020-03-24 15:11:44.097434
30,M&M,Automobile - Auto & Truck Manufacturers,270.9,-22.5,-7.67,33678.09,2020-03-24 15:11:44.097434
31,Maruti Suzuki,Automobile - Passenger Cars,4489.3,268.95,6.37,135612.8,2020-03-24 15:11:44.097434
32,Nestle,Consumer Food,13657.05,712.4,5.5,131675.43,2020-03-24 15:11:44.097434
33,NTPC,Power Generation/Distribution,77.4,1.0,1.31,76583.87,2020-03-24 15:11:44.097434
34,ONGC,Oil Exploration and Production,62.45,2.05,3.39,78563.84,2020-03-24 15:11:44.097434
35,Power Grid Corp,Power Generation/Distribution,146.9,-6.1,-3.99,76852.05,2020-03-24 15:11:44.097434
36,Reliance,Oil Exploration and Production,946.05,62.0,7.01,599726.4,2020-03-24 15:11:44.097434
37,SBI,Bank - Public,183.0,1.4,0.77,163320.39,2020-03-24 15:11:44.097434
38,Sun Pharma,Pharmaceuticals & Drugs,334.5,10.0,3.08,80257.75,2020-03-24 15:11:44.097434
39,Tata Motors,Automobile - LCVS/ HVCS,68.8,2.6,3.93,21252.13,2020-03-24 15:11:44.097434
40,Tata Steel,Iron & Steel,272.0,0.85,0.31,30640.52,2020-03-24 15:11:44.097434
41,TCS,IT Services & Consulting,1697.45,27.75,1.66,636948.54,2020-03-24 15:11:44.097434
42,Tech Mahindra,IT Services & Consulting,505.35,18.15,3.73,49844.12,2020-03-24 15:11:44.097434
43,Titan Company,Diamond  &  Jewellery,817.1,16.15,2.02,72541.01,2020-03-24 15:11:44.097434
44,UltraTechCement,Cement,3032.65,-22.2,-0.73,87529.4,2020-03-24 15:11:44.097434
45,UPL,Pesticides & Agrochemicals,261.75,7.15,2.81,19998.89,2020-03-24 15:11:44.097434
46,Vedanta,Metals - Non Ferrous,62.45,-0.2,-0.32,23213.89,2020-03-24 15:11:44.097434
47,Wipro,IT Services & Consulting,176.5,6.35,3.73,100840.76,2020-03-24 15:11:44.097434
48,Yes Bank,Bank - Private,35.1,-4.65,-11.7,44052.16,2020-03-24 15:11:44.097434
49,Zee Entertain,TV Broadcasting & Software Production,119.4,-2.6,-2.13,11468.17,2020-03-24 15:11:44.097434
0,Adani Ports,Transport Infrastructure,230.75,22.95,11.04,46882.67,2020-03-24 15:12:45.656326
1,Asian Paints,Paints,1527.45,29.0,1.94,146512.67,2020-03-24 15:12:45.656326
2,Axis Bank,Bank - Private,303.3,-5.35,-1.73,85574.32,2020-03-24 15:12:45.656326
3,Bajaj Auto,Automobile - 2 & 3 Wheelers,1946.5,10.95,0.57,56325.29,2020-03-24 15:12:45.656326
4,Bajaj Finance,Finance - NBFC,2480.0,213.85,9.44,149218.89,2020-03-24 15:12:45.656326
5,Bajaj Finserv,Finance - Investment,4464.95,-156.1,-3.38,71054.0,2020-03-24 15:12:45.656326
6,Bharti Airtel,Telecommunication - Service Provider,405.2,-2.15,-0.53,221059.18,2020-03-24 15:12:45.656326
7,Bharti Infratel,Telecommunication - Equipment,144.6,1.2,0.84,26745.34,2020-03-24 15:12:45.656326
8,BPCL,Refineries,264.45,-4.9,-1.82,57365.89,2020-03-24 15:12:45.656326
9,Britannia,Consumer Food,2376.2,238.35,11.15,57140.08,2020-03-24 15:12:45.656326
10,Cipla,Pharmaceuticals & Drugs,380.3,5.05,1.35,30661.13,2020-03-24 15:12:45.656326
11,Coal India,Coal,129.6,1.75,1.37,79868.96,2020-03-24 15:12:45.656326
12,Dr Reddys Labs,Pharmaceuticals & Drugs,2861.5,93.1,3.36,47550.14,2020-03-24 15:12:45.656326
13,Eicher Motors,Automobile - LCVS/ HVCS,14164.35,458.45,3.34,38676.43,2020-03-24 15:12:45.656326
14,GAIL,Gas Distribution,77.45,-0.55,-0.71,35229.48,2020-03-24 15:12:45.656326
15,Grasim,Diversified,405.1,-28.15,-6.5,26647.43,2020-03-24 15:12:45.656326
16,HCL Tech,IT Services & Consulting,443.8,26.65,6.39,120432.46,2020-03-24 15:12:45.656326
17,HDFC,Finance - Housing,1506.8,-13.9,-0.91,260974.32,2020-03-24 15:12:45.656326
18,HDFC Bank,Bank - Private,772.2,0.65,0.08,423419.38,2020-03-24 15:12:45.656326
19,Hero Motocorp,Automobile - 2 & 3 Wheelers,1627.95,11.95,0.74,32516.57,2020-03-24 15:12:45.656326
20,Hindalco,Iron & Steel,88.7,0.8,0.91,19924.0,2020-03-24 15:12:45.656326
21,HUL,Household & Personal Products,2048.8,179.1,9.58,443528.54,2020-03-24 15:12:45.656326
22,ICICI Bank,Bank - Private,298.5,14.5,5.11,193203.8,2020-03-24 15:12:45.656326
23,IndusInd Bank,Bank - Private,314.6,-21.85,-6.49,21818.63,2020-03-24 15:12:45.656326
24,Infosys,IT Services & Consulting,582.4,55.95,10.63,248032.35,2020-03-24 15:12:45.656326
